account_id,account_name,industry,segment,country,is_active,created_at,updated_at
ACC0001,Northstar Health 001,Technology,SMB,United States,t,2025-09-03 09:00:00+00,2026-08-31 20:58:00.213051+00
ACC0002,BrightBridge Consulting 002,Financial Services,SMB,United Kingdom,t,2025-09-05 09:00:00+00,2026-08-28 09:00:00+00
ACC0003,Vertex Networks 003,Healthcare,Mid-Market,Nigeria,t,2025-09-07 09:00:00+00,2026-08-27 09:00:00+00
ACC0004,Summit Systems 004,Professional Services,SMB,Canada,t,2025-09-09 09:00:00+00,2026-08-26 09:00:00+00
ACC0005,ClearPath Finance 005,Logistics,SMB,Germany,t,2025-09-11 09:00:00+00,2026-08-25 09:00:00+00
ACC0006,Nova Software 006,E-Commerce,Mid-Market,United States,t,2025-09-13 09:00:00+00,2026-08-24 09:00:00+00
ACC0007,BluePeak Analytics 007,Technology,SMB,United Kingdom,t,2025-09-15 09:00:00+00,2026-08-23 09:00:00+00
ACC0008,Evergreen Logistics 008,Financial Services,SMB,Nigeria,t,2025-09-17 09:00:00+00,2026-08-22 09:00:00+00
ACC0009,Horizon Labs 009,Healthcare,Mid-Market,Canada,t,2025-09-19 09:00:00+00,2026-08-21 09:00:00+00
ACC0010,Atlas Solutions 010,Professional Services,SMB,Germany,t,2025-09-21 09:00:00+00,2026-08-20 09:00:00+00
ACC0011,Northstar Health 011,Logistics,SMB,United States,t,2025-09-23 09:00:00+00,2026-08-19 09:00:00+00
ACC0012,BrightBridge Consulting 012,E-Commerce,Mid-Market,United Kingdom,t,2025-09-25 09:00:00+00,2026-08-18 09:00:00+00
ACC0013,Vertex Networks 013,Technology,SMB,Nigeria,t,2025-09-27 09:00:00+00,2026-08-17 09:00:00+00
ACC0014,Summit Systems 014,Financial Services,SMB,Canada,t,2025-09-29 09:00:00+00,2026-08-16 09:00:00+00
ACC0015,ClearPath Finance 015,Healthcare,Mid-Market,Germany,t,2025-10-01 09:00:00+00,2026-08-15 09:00:00+00
ACC0016,Nova Software 016,Professional Services,SMB,United States,t,2025-10-03 09:00:00+00,2026-08-14 09:00:00+00
ACC0017,BluePeak Analytics 017,,SMB,United Kingdom,t,2025-10-05 09:00:00+00,2026-08-13 09:00:00+00
ACC0018,Evergreen Logistics 018,E-Commerce,Mid-Market,Nigeria,t,2025-10-07 09:00:00+00,2026-08-12 09:00:00+00
ACC0019,Horizon Labs 019,Technology,SMB,Canada,t,2025-10-09 09:00:00+00,2026-08-11 09:00:00+00
ACC0020,Atlas Solutions 020,Financial Services,SMB,Germany,t,2025-10-11 09:00:00+00,2026-08-10 09:00:00+00
ACC0021,Northstar Health 021,Healthcare,Mid-Market,United States,t,2025-10-13 09:00:00+00,2026-08-09 09:00:00+00
ACC0022,BrightBridge Consulting 022,Professional Services,SMB,United Kingdom,t,2025-10-15 09:00:00+00,2026-08-08 09:00:00+00
ACC0023,Vertex Networks 023,Logistics,SMB,Nigeria,t,2025-10-17 09:00:00+00,2026-08-07 09:00:00+00
ACC0024,Summit Systems 024,E-Commerce,Mid-Market,Canada,t,2025-10-19 09:00:00+00,2026-08-06 09:00:00+00
ACC0025,ClearPath Finance 025,Technology,SMB,Germany,t,2025-10-21 09:00:00+00,2026-08-05 09:00:00+00
ACC0026,Nova Software 026,Financial Services,SMB,United States,t,2025-10-23 09:00:00+00,2026-08-04 09:00:00+00
ACC0027,BluePeak Analytics 027,Healthcare,Mid-Market,United Kingdom,t,2025-10-25 09:00:00+00,2026-08-03 09:00:00+00
ACC0028,Evergreen Logistics 028,Professional Services,SMB,Nigeria,t,2025-10-27 09:00:00+00,2026-08-02 09:00:00+00
ACC0029,Horizon Labs 029,Logistics,SMB,Canada,t,2025-10-29 09:00:00+00,2026-08-01 09:00:00+00
ACC0030,Atlas Solutions 030,E-Commerce,Mid-Market,Germany,t,2025-10-31 09:00:00+00,2026-08-30 09:00:00+00
ACC0031,Northstar Health 031,Technology,SMB,United States,t,2025-11-02 09:00:00+00,2026-08-29 09:00:00+00
ACC0032,BrightBridge Consulting 032,Financial Services,SMB,United Kingdom,t,2025-11-04 09:00:00+00,2026-08-28 09:00:00+00
ACC0033,Vertex Networks 033,Healthcare,Mid-Market,Nigeria,t,2025-11-06 09:00:00+00,2026-08-27 09:00:00+00
ACC0034,Summit Systems 034,,SMB,Canada,t,2025-11-08 09:00:00+00,2026-08-26 09:00:00+00
