target_id,sales_rep_id,target_month,team,revenue_target,pipeline_target
TGT-SR001-202509,SR001,2025-09-01,SMB,70000.00,210000.00
TGT-SR001-202510,SR001,2025-10-01,SMB,70000.00,210000.00
TGT-SR001-202511,SR001,2025-11-01,SMB,70000.00,210000.00
TGT-SR001-202512,SR001,2025-12-01,SMB,70000.00,210000.00
TGT-SR001-202601,SR001,2026-01-01,SMB,70000.00,210000.00
TGT-SR001-202602,SR001,2026-02-01,SMB,70000.00,210000.00
TGT-SR001-202603,SR001,2026-03-01,SMB,70000.00,210000.00
TGT-SR001-202604,SR001,2026-04-01,SMB,70000.00,210000.00
TGT-SR001-202605,SR001,2026-05-01,SMB,70000.00,210000.00
TGT-SR001-202606,SR001,2026-06-01,SMB,70000.00,210000.00
TGT-SR001-202607,SR001,2026-07-01,SMB,70000.00,210000.00
TGT-SR001-202608,SR001,2026-08-01,SMB,70000.00,210000.00
TGT-SR002-202509,SR002,2025-09-01,SMB,65000.00,195000.00
TGT-SR002-202510,SR002,2025-10-01,SMB,65000.00,195000.00
TGT-SR002-202511,SR002,2025-11-01,SMB,65000.00,195000.00
TGT-SR002-202512,SR002,2025-12-01,SMB,65000.00,195000.00
TGT-SR002-202601,SR002,2026-01-01,SMB,65000.00,195000.00
TGT-SR002-202602,SR002,2026-02-01,SMB,65000.00,195000.00
TGT-SR002-202603,SR002,2026-03-01,SMB,65000.00,195000.00
TGT-SR002-202604,SR002,2026-04-01,SMB,65000.00,195000.00
TGT-SR002-202605,SR002,2026-05-01,SMB,65000.00,195000.00
TGT-SR002-202606,SR002,2026-06-01,SMB,65000.00,195000.00
TGT-SR002-202607,SR002,2026-07-01,SMB,65000.00,195000.00
TGT-SR002-202608,SR002,2026-08-01,SMB,65000.00,195000.00
TGT-SR003-202509,SR003,2025-09-01,SMB,60000.00,180000.00
TGT-SR003-202510,SR003,2025-10-01,SMB,60000.00,180000.00
TGT-SR003-202511,SR003,2025-11-01,SMB,60000.00,180000.00
TGT-SR003-202512,SR003,2025-12-01,SMB,60000.00,180000.00
TGT-SR003-202601,SR003,2026-01-01,SMB,60000.00,180000.00
TGT-SR003-202602,SR003,2026-02-01,SMB,60000.00,180000.00
TGT-SR003-202603,SR003,2026-03-01,SMB,60000.00,180000.00
TGT-SR003-202604,SR003,2026-04-01,SMB,60000.00,180000.00
TGT-SR003-202605,SR003,2026-05-01,SMB,60000.00,180000.00
TGT-SR003-202606,SR003,2026-06-01,SMB,60000.00,180000.00
TGT-SR003-202607,SR003,2026-07-01,SMB,60000.00,180000.00
TGT-SR003-202608,SR003,2026-08-01,SMB,60000.00,180000.00
TGT-SR004-202509,SR004,2025-09-01,Mid-Market,100000.00,300000.00
TGT-SR004-202510,SR004,2025-10-01,Mid-Market,100000.00,300000.00
TGT-SR004-202511,SR004,2025-11-01,Mid-Market,100000.00,300000.00
TGT-SR004-202512,SR004,2025-12-01,Mid-Market,100000.00,300000.00
TGT-SR004-202601,SR004,2026-01-01,Mid-Market,100000.00,300000.00
TGT-SR004-202602,SR004,2026-02-01,Mid-Market,100000.00,300000.00
TGT-SR004-202603,SR004,2026-03-01,Mid-Market,100000.00,300000.00
TGT-SR004-202604,SR004,2026-04-01,Mid-Market,100000.00,300000.00
TGT-SR004-202605,SR004,2026-05-01,Mid-Market,100000.00,300000.00
TGT-SR004-202606,SR004,2026-06-01,Mid-Market,100000.00,300000.00
TGT-SR004-202607,SR004,2026-07-01,Mid-Market,100000.00,300000.00
TGT-SR004-202608,SR004,2026-08-01,Mid-Market,100000.00,300000.00
TGT-SR005-202509,SR005,2025-09-01,Mid-Market,95000.00,285000.00
TGT-SR005-202510,SR005,2025-10-01,Mid-Market,95000.00,285000.00
TGT-SR005-202511,SR005,2025-11-01,Mid-Market,95000.00,285000.00
TGT-SR005-202512,SR005,2025-12-01,Mid-Market,95000.00,285000.00
TGT-SR005-202601,SR005,2026-01-01,Mid-Market,95000.00,285000.00
TGT-SR005-202602,SR005,2026-02-01,Mid-Market,95000.00,285000.00
TGT-SR005-202603,SR005,2026-03-01,Mid-Market,95000.00,285000.00
TGT-SR005-202604,SR005,2026-04-01,Mid-Market,95000.00,285000.00
TGT-SR005-202605,SR005,2026-05-01,Mid-Market,95000.00,285000.00
TGT-SR005-202606,SR005,2026-06-01,Mid-Market,95000.00,285000.00
TGT-SR005-202607,SR005,2026-07-01,Mid-Market,95000.00,285000.00
TGT-SR005-202608,SR005,2026-08-01,Mid-Market,95000.00,285000.00
TGT-SR006-202509,SR006,2025-09-01,Mid-Market,90000.00,270000.00
TGT-SR006-202510,SR006,2025-10-01,Mid-Market,90000.00,270000.00
TGT-SR006-202511,SR006,2025-11-01,Mid-Market,90000.00,270000.00
TGT-SR006-202512,SR006,2025-12-01,Mid-Market,90000.00,270000.00
TGT-SR006-202601,SR006,2026-01-01,Mid-Market,90000.00,270000.00
TGT-SR006-202602,SR006,2026-02-01,Mid-Market,90000.00,270000.00
TGT-SR006-202603,SR006,2026-03-01,Mid-Market,90000.00,270000.00
TGT-SR006-202604,SR006,2026-04-01,Mid-Market,90000.00,270000.00
TGT-SR006-202605,SR006,2026-05-01,Mid-Market,90000.00,270000.00
TGT-SR006-202606,SR006,2026-06-01,Mid-Market,90000.00,270000.00
TGT-SR006-202607,SR006,2026-07-01,Mid-Market,90000.00,270000.00
TGT-SR006-202608,SR006,2026-08-01,Mid-Market,90000.00,270000.00
